"","Selection","Breeding_year","Day","Month","Year","Country","Region","Site_name","Site_Code","Euring","Species","Sample_type","Sample_no","Total_flock","N_Adult","N_Juvenile","N_sampled","Perc-JV","Fam1","Fam2","Fam3","Fam4","Fam5","Fam6","Fam7","Fam8","Fam9","Fam10","Mean_Fam","Food_type","Observer","Remarks","time"
"66","X",2001,17,12,2001,"NL","FR","Slushoeke","FR7112",1590,"Kolgans","S",1,259,212,47,259,18.1467181467182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Kleefstra, Romke",NA,2001-12-17
"67","X",2001,17,12,2001,"NL","FR","Slushoeke","FR7112",1590,"Kolgans","S",1,85,65,20,85,23.5294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Kleefstra, Romke",NA,2001-12-17
"68","X",2001,22,12,2001,"NL","RG","Nijenbeker Klei","RG2100",1590,"Kolgans","S",1,800,610,190,800,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-12-22
"69","X",2001,22,12,2001,"NL","RG","Stokebrandswaard","RG2100",1590,"Kolgans","S",1,500,368,132,500,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-12-22
"70","X",2001,24,12,2001,"NL","ZL","Hulst","ZL5200",1590,"Kolgans","S",1,1980,300,36,336,10.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wintergraan","Berrevoets, Cor",NA,2001-12-24
"71","X",2001,26,12,2001,"NL","RG","IJssel, Den Elterweg","RG2100",1590,"Kolgans","S",1,200,145,55,200,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-12-26
"72","X",2002,27,9,2002,"NRW","WES","Bislicher Insel",NA,1590,"Kolgans","S",1,6,2,4,6,66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mooij, Johan",NA,2002-09-27
"73","X",2002,30,9,2002,"NRW","WES","Bislicher Insel",NA,1590,"Kolgans","S",1,31,22,9,31,29.0322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mooij, Johan",NA,2002-09-30
"74","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,462,360,102,462,22.0779220779221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-11
"75","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,16,10,6,16,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","komplett",2002-10-11
"76","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,28,8,20,28,71.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-11
"77","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,203,190,13,203,6.40394088669951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-11
"78","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,517,495,22,517,4.25531914893617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-11
"79","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,340,295,45,340,13.2352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-11
"80","X",2002,11,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,271,202,69,271,25.4612546125461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-11
"81","X",2002,19,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,97,72,25,97,25.7731958762887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","komplett",2002-10-19
"82","X",2002,19,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,500,151,41,192,21.3541666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","quer",2002-10-19
"83","X",2002,19,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,300,124,17,141,12.0567375886525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","quer",2002-10-19
"84","X",2002,19,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,800,321,23,344,6.68604651162791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2002-10-19
"85","X",2002,20,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,65,48,12,60,20,1,1,1,NA,NA,1,NA,NA,NA,NA,3,"gras","Kramer, Jan",NA,2002-10-20
"86","X",2002,20,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,800,332,102,434,23.5023041474654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","quer",2002-10-20
"87","X",2002,20,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,500,351,24,375,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","entlang",2002-10-20
"88","X",2002,21,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,190,162,18,180,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Kramer, Jan",NA,2002-10-21
"89","X",2002,21,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,250,233,10,243,4.11522633744856,5,1,1,NA,NA,NA,NA,NA,NA,NA,1.42857142857143,"gras","Kramer, Jan",NA,2002-10-21
"90","X",2002,21,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,150,116,10,126,7.93650793650794,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1.42857142857143,"gras","Kramer, Jan",NA,2002-10-21
"91","X",2002,21,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,37,27,10,37,27.027027027027,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2.5,"gras","Kramer, Jan",NA,2002-10-21
"92","X",2002,21,10,2002,"NRW","KLE","Hetter - Bienen",NA,1590,"Kolgans","S",1,1500,195,111,306,36.2745098039216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald","quer",2002-10-21
"93","X",2002,22,10,2002,"NL","RG","IJssel bij Cortenoever","RG2100",1590,"Kolgans","S",1,150,126,24,150,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Philippona, Jules",NA,2002-10-22
"94","X",2002,22,10,2002,"NRW","WES","Bislicher Insel",NA,1590,"Kolgans","S",1,247,191,56,247,22.6720647773279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mooij, Johan",NA,2002-10-22
"95","X",2002,23,10,2002,"NL","FR","Piaam","FR5120",1590,"Kolgans","S",1,55,51,4,55,7.27272727272727,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,"gras","Kramer, Jan",NA,2002-10-23
"96","X",2002,23,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,240,209,27,236,11.4406779661017,6,4,3,1,NA,NA,NA,NA,NA,NA,1.92857142857143,"gras","Kramer, Jan",NA,2002-10-23
"97","X",2002,23,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,78,51,27,78,34.6153846153846,3,1,4,NA,2,NA,NA,NA,NA,NA,2.7,"gras","Kramer, Jan",NA,2002-10-23
"98","X",2002,23,10,2002,"NL","FR","Ferwoude","FR5150",1590,"Kolgans","S",1,67,49,9,58,15.5172413793104,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"gras","Kramer, Jan",NA,2002-10-23
"99","X",2002,25,10,2002,"NL","RG","IJssel bij Rijsselsche Waarden","RG2100",1590,"Kolgans","S",1,235,198,37,235,15.7446808510638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Philippona, Jules",NA,2002-10-25
"100","X",2002,28,10,2002,"NRW","WES","Bislicher Insel",NA,1590,"Kolgans","S",1,40,31,9,40,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mooij, Johan",NA,2002-10-28
"101","X",2002,29,10,2002,"NL","FR","Staveren","FR5540",1590,"Kolgans","S",1,295,150,70,220,31.8181818181818,4,11,10,2,NA,1,NA,NA,NA,NA,2.5,"gras","Kramer, Jan",NA,2002-10-29
"102","X",2002,29,10,2002,"NL","FR","Laaksum","FR5570",1590,"Kolgans","S",1,109,52,57,109,52.2935779816514,5,7,4,2,NA,3,NA,NA,NA,NA,2.71428571428571,"gras","Kramer, Jan",NA,2002-10-29
"103","X",2002,29,10,2002,"NL","FR","Laaksum","FR5570",1590,"Kolgans","S",1,92,59,33,92,35.8695652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Kramer, Jan",NA,2002-10-29
"104","X",2002,29,10,2002,"NL","FR","Laaksum","FR5570",1590,"Kolgans","S",1,950,188,80,268,29.8507462686567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Kramer, Jan",NA,2002-10-29
"105","X",2002,29,10,2002,"NL","RG","IJssel bij Voorsterklei","RG2100",1590,"Kolgans","S",1,113,94,19,113,16.8141592920354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Philippona, Jules",NA,2002-10-29
"106","X",2002,29,10,2002,"NL","RG","IJssel bij Gorssel","RG2100",1590,"Kolgans","S",1,202,181,21,202,10.3960396039604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Philippona, Jules",NA,2002-10-29
"107","X",2002,29,10,2002,"NRW","WES","Bislicher Insel",NA,1590,"Kolgans","S",1,112,86,26,112,23.2142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mooij, Johan",NA,2002-10-29
